country_iso3,table_name,record_id,record_name,field_name,claim_summary,source_url,source_authority,source_section_or_page,direct_support,scope_match,current_as_of_2026_06_22,action_taken,notes
USA,countries,73904546-ad7a-49ec-9727-64dafe4918e0,United States,education_system_summary,Education is primarily a state and local responsibility; no national curriculum or graduation requirement; states establish schools and set graduation requirements,https://www2.ed.gov/about/overview/fed/role.html,U.S. Department of Education,"Federal Role in Education page, Overview section, first paragraph",yes,yes,yes,kept,US DOE official page confirms decentralized state-based system. primary_languages and grade_structure cleared due to lack of direct federal support.
USA,countries,73904546-ad7a-49ec-9727-64dafe4918e0,United States,primary_languages,No federally mandated primary languages; education is a state and local responsibility and language policy is determined at the state and local level,https://www2.ed.gov/about/overview/fed/role.html,U.S. Department of Education,"Federal Role in Education page, Overview section: 'Education is primarily a State and local responsibility'",yes,yes,yes,kept,No federal source enumerates primary languages; empty array reflects absence of federal mandate.
USA,countries,73904546-ad7a-49ec-9727-64dafe4918e0,United States,grade_structure,No federally mandated grade structure; education is a state and local responsibility and school organization is determined at the state and local level,https://www2.ed.gov/about/overview/fed/role.html,U.S. Department of Education,"Federal Role in Education page, Overview section: 'Education is primarily a State and local responsibility'",yes,yes,yes,kept,No federal source enumerates exact grade structure; empty object reflects absence of federal mandate.
USA,destination_graduation_frameworks,9708173e-64db-49c5-b83e-721677ef90de,Georgia High School Graduation Requirements,framework_name,Framework name: Georgia High School Graduation Requirements,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 title and header,yes,yes,yes,corrected,
USA,destination_graduation_frameworks,9708173e-64db-49c5-b83e-721677ef90de,Georgia High School Graduation Requirements,credential_awarded,Credential awarded: High School Diploma,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (2)(i) Secondary School Credentials,yes,yes,yes,corrected,
USA,destination_graduation_frameworks,9708173e-64db-49c5-b83e-721677ef90de,Georgia High School Graduation Requirements,grade_range,Grade range: 9-12,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 applies to students entering 9th grade in 2008-09 and subsequent,yes,yes,yes,kept,
USA,destination_graduation_frameworks,9708173e-64db-49c5-b83e-721677ef90de,Georgia High School Graduation Requirements,total_credits_required,Total credits required: 23,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (3)(b)(iii): TOTAL UNITS (MINIMUM) 23,yes,yes,yes,kept,
USA,destination_graduation_frameworks,9708173e-64db-49c5-b83e-721677ef90de,Georgia High School Graduation Requirements,credit_unit_name,Credit unit: unit (150 clock hours),https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (2)(i) defines a unit as 150 clock hours,yes,yes,yes,corrected,
USA,destination_graduation_frameworks,9708173e-64db-49c5-b83e-721677ef90de,Georgia High School Graduation Requirements,has_state_or_national_exams,Has state exams: true,https://apps.gadoe.org/sboe/SBOE%20Rules/160-4-2-.48.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-4-2-.48 Section (2)(g) references Rule 160-3-1-.07; district policies confirm assessment requirement for diploma,yes,yes,yes,kept,
USA,destination_graduation_frameworks,9708173e-64db-49c5-b83e-721677ef90de,Georgia High School Graduation Requirements,exam_notes,"Students must take designated EOC assessments in Literature and Composition II beginning in 2025-26, Algebra: Concepts and Connections, Biology, and U.S. History, subject to stated exemptions.",https://apps.gadoe.org/sboe/SBOE%20Rules/160-3-1-.07.pdf,Georgia State Board of Education / Georgia Department of Education,Rule 160-3-1-.07 Section (2)(j) End-of-Course Assessments,yes,yes,yes,corrected,
