id,framework_id,subject_category,credits_required,specific_courses,notes,requirement_type,priority,requirement_group_id,requirement_code,requirement_kind,unit_name,minimum_value,completion_rule,applies_to_pathway,substitution_allowed,substitution_notes,sequence_notes,local_override,effective_date,expiration_date,coverage_status,created_at,updated_at
7cd63751-a5bb-4624-9877-3bcfd149c5a9,9708173e-64db-49c5-b83e-721677ef90de,English/Language Arts,4,"[""Ninth-Grade Literature and Composition"",""American Literature and Composition""]",4 units required. One unit Ninth-Grade Literature and Composition. One unit American Literature and Composition. 2 additional English/Language Arts core units from state-approved courses.,core,high,,GA-ELA,credit,unit,4,all_of,,,,,false,,,partial,,
4115d09c-1fa1-4771-8be6-8f9a1cc99d11,9708173e-64db-49c5-b83e-721677ef90de,Mathematics,4,"[""Algebra or equivalent"",""Geometry or equivalent"",""Advanced Algebra or equivalent""]","4 units required. Must include Algebra, Geometry, and Advanced Algebra or equivalents. The fourth unit must be selected from state-approved mathematics core courses.",core,high,,GA-MATH,credit,unit,4,all_of,,,,,false,,,partial,,
0847ae73-676f-4a50-b264-a6080487a2e2,9708173e-64db-49c5-b83e-721677ef90de,Science,4,"[""Biology"",""Physical Science or Physics"",""Chemistry, Earth Systems, Environmental Science, or AP/IB course""]","4 units required. One unit Biology. One unit Physical Science or Physics. One unit Chemistry, Earth Systems, Environmental Science, or an AP/IB course. One additional Science core. The 4th science unit may be used to meet both the science and elective requirements.",core,high,,GA-SCI,credit,unit,4,all_of,,,,,false,,,partial,,
5d621993-dd80-4daa-aff5-c35fd2855f3f,9708173e-64db-49c5-b83e-721677ef90de,Social Studies,3,"[""United States History"",""World History"",""American Government/Civics"",""Economics""]",3 units required. One unit US History. One unit World History. One-half unit American Government/Civics. One-half unit Economics.,core,high,,GA-SS,credit,unit,3,all_of,,,,,false,,,partial,,
b9e1553a-6093-4e34-a66e-ab6ecf0b96fa,9708173e-64db-49c5-b83e-721677ef90de,"CTAE, Modern Language/Latin, or Fine Arts",3,[],3 units required from CTAE and/or Modern Language/Latin and/or Fine Arts. Students choose from these areas for a total of 3 units.,core,high,,GA-CTAE-WL-FA,credit,unit,3,one_of,,true,Students complete three units from CTAE and/or Modern Language/Latin and/or Fine Arts; the state rule does not require all three categories.,,false,,,partial,,
f15c2c99-0dfb-414d-a93e-7f1aef528087,9708173e-64db-49c5-b83e-721677ef90de,Health and Physical Education,1,"[""Health and Physical Education""]",1 unit combined Health and Physical Education required.,core,high,,GA-HPE,credit,unit,1,all_of,,,,,false,,,partial,,
abf7cecd-4313-4f7e-bf8f-551b3bbdd318,9708173e-64db-49c5-b83e-721677ef90de,Electives,4,[],4 elective units required. Total minimum 23 units.,elective,medium,,GA-ELECTIVES,elective,unit,4,all_of,,,,,false,,,partial,,
48c6b602-c79c-4997-ac8a-94358ff7034c,9708173e-64db-49c5-b83e-721677ef90de,Exam,,"[""Literature and Composition II"",""Algebra: Concepts and Connections"",""Biology"",""U.S. History""]","Students must take designated EOC assessments in these courses, subject to the exemptions in Rule 160-3-1-.07.",exam,high,,GA-EOC,assessment,,,informational,,,,,false,,,partial,,

"d926ebcc-d1e7-48a3-ac78-424e2deae6ba","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","English/Language Arts","4","[""English I"",""English II"",""English III"",""one advanced English course""]","Four credits required. Must include English I and English II. English III or a comparable AP/IB English course. Fourth credit from advanced English courses per 19 TAC 74.12(b)(1).","core","high","","TX-ELA","credit","credit","4","all_of","","false","","","false","","","partial","",""
"6fc8e048-cb6f-48b7-ba0b-7f772869409d","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","Mathematics","3","[""Algebra I"",""Geometry"",""one advanced mathematics course""]","Three credits required for the Foundation program (4 for the default endorsement path). Must include Algebra I and Geometry. Additional advanced mathematics credits per 19 TAC 74.12(b)(2); the default endorsement path adds one additional advanced mathematics course per 19 TAC 74.13(e)(2).","core","high","","TX-MATH","credit","credit","3","all_of","","false","","","false","","","partial","",""
"e40517f9-1a95-4e10-834a-131e27f8b152","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","Science","3","[""Biology"",""one laboratory-based course (Integrated Physics and Chemistry, Chemistry, or Physics)"",""one additional advanced science course""]","Three credits required for the Foundation program (4 for the default endorsement path). Must include Biology. Additional laboratory-based and advanced science credits per 19 TAC 74.12(b)(3); the default endorsement path adds one additional advanced science course per 19 TAC 74.13(e)(6).","core","high","","TX-SCI","credit","credit","3","all_of","","false","","","false","","","partial","",""
"10ba15da-818e-4a6e-9d45-3ed6d91391a9","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","Social Studies","3","[""United States History Studies Since 1877"",""United States Government (0.5 credit)"",""Economics or Personal Financial Literacy (0.5 credit)"",""World History or World Geography (1 credit)""]","Three credits required. One credit U.S. History. One-half credit U.S. Government. One-half credit Economics or Personal Financial Literacy. One credit World History or World Geography per 19 TAC 74.12(b)(4).","core","high","","TX-SS","credit","credit","3","all_of","","false","","","false","","","partial","",""
"2c2b9ace-2e5f-43d2-a8f6-8f6461531567","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","Languages Other Than English","2","[""Two levels in the same language or two computer programming credits""]","Two credits required. May be satisfied by two levels in the same language (including ASL), or two credits in computer programming languages per 19 TAC 74.12(b)(5). Substitutions are permitted for students with disabilities per district committee determination.","core","high","","TX-LOTE","credit","credit","2","all_of","","true","Students with disabilities may substitute alternative credits per ARD or 504 committee. Students unable to complete the second LOTE credit may substitute with district agreement.","","false","","","partial","",""
"c2577ff1-81e0-412f-ab49-65e0eea6fa01","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","Physical Education","1","[""Physical Education or approved substitution""]","One credit required. May be earned through approved physical education courses or substitutions including athletics, JROTC, marching band, cheerleading, or approved private programs per 19 TAC 74.12(b)(6).","core","medium","","TX-PE","credit","credit","1","all_of","","true","Substitutions permitted through athletics, JROTC, marching band, cheerleading, or approved private programs per local district policy.","","false","","","partial","",""
"cc6c382a-3d78-47b5-b89c-12de1ea9a339","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","Fine Arts","1","[""Art, Dance, Music, Theatre, or approved innovative course""]","One credit required. May be selected from Art, Dance, Music, Theatre, Musical Theatre, Technical Theatre, IB Film, Floral Design, Digital Art and Animation, or 3-D Modeling and Animation per 19 TAC 74.12(b)(7). Community-based programs may be approved by district.","core","medium","","TX-FA","credit","credit","1","all_of","","true","Community-based fine arts programs may be approved by district per 19 TAC 74.12(b)(7)(B).","","false","","","partial","",""
"b556c297-dda4-4e7c-be63-dfba6d20f3f2","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","Electives","5","[]","Five elective credits required for the Foundation plan. Additional endorsement courses may also count toward elective requirements. Electives must be selected from state-approved courses per 19 TAC 74.12(c).","elective","medium","","TX-ELECTIVES","elective","credit","5","all_of","","false","","","false","","","partial","",""
"d459005c-b80a-439f-9773-1797cdcffee8","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","Endorsement/Advanced Credits","4","[]","Four additional credits required for the default endorsement path (default for students entering 9th grade since 2014-15). Includes one additional mathematics credit, one additional science credit, and two endorsement-specific elective credits. Students may opt out of an endorsement after sophomore year with parent permission per 19 TAC 74.11(e). Endorsement areas: STEM, Business and Industry, Public Services, Arts and Humanities, Multidisciplinary Studies.","elective","medium","","TX-ENDORSEMENT","credit","credit","4","all_of","","false","","","false","","","partial","",""
"7b47ac5a-3fe2-48c1-8270-82364a8c5d8d","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","STAAR EOC Assessments","","[""English I"",""English II"",""Algebra I"",""Biology"",""U.S. History""]","Students must pass five STAAR End-of-Course (EOC) assessments as specified in 19 TAC Chapter 101 (Assessment). Students who do not pass up to two exams may still graduate through an Individual Graduation Committee (IGC) per TEC 28.025(c). Beginning 2022-23, students must complete a college and career readiness assessment in English and math (or TSI alternative).","exam","high","","TX-STAAR","assessment","","","informational","","false","","","false","","","partial","",""
"ea42e494-01da-484d-8c50-1482b598f8fb","6f9d8ae0-44b4-4b5c-a44a-8c08ec6084e4","Speech and Communication Proficiency","","[]","Demonstrated proficiency in delivering clear verbal messages, choosing effective nonverbal behaviors, listening for desired results, applying critical-thinking and problem-solving processes, and identifying, analyzing, developing, and evaluating communication skills. Must be demonstrated in Grade 8 or higher as determined by the district per 19 TAC 74.11(a)(3). A specific course is not required; proficiency may be demonstrated through district-approved methods.","program_specific","medium","","TX-SPEECH","non_course","","","informational","","false","","","false","","","partial","",""
